Año,Mes_Nombre,Programa_Base,Asignatura,Desaprobado,Total_Alumnos,Tasa_Desaprobados
2015,Mayo,CARRERA DE ECONOMIA,USO DE PROBABILIDADES PARA EL ANÁLISIS Y LA GESTIÓN,1,14,0.0714
2015,Mayo,CARRERA DE EDUCACION,ELECTIVO I,3,5,0.6
2015,Mayo,CARRERA DE EDUCACION,METODOS DE ESTUDIO - HS,10,30,0.3333
2015,Mayo,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN INICIAL,CURRÍCULO,0,6,0.0
2015,Mayo,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN INICIAL,INTRODUCCIÓN A LA ECONOMÍA,0,1,0.0
2015,Mayo,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN MATEMÁTICA E INFORMÁTICA,CURRÍCULO,0,3,0.0
2015,Noviembre,CARRERA DE CONTABILIDAD Y FINANZAS,ACTIVIDADES I,6,20,0.3
2015,Noviembre,CARRERA DE CONTABILIDAD Y FINANZAS,DIRECCIÓN DE OPERACIONES,1,12,0.0833
2015,Noviembre,CARRERA DE CONTABILIDAD Y FINANZAS,DIRECCIÓN ESTRATÉGICA,0,8,0.0
2015,Noviembre,CARRERA DE CONTABILIDAD Y FINANZAS,INGLÉS I,2,16,0.125
2015,Noviembre,CARRERA DE CONTABILIDAD Y FINANZAS,INGLÉS II,4,27,0.1481
2015,Noviembre,CARRERA DE CONTABILIDAD Y FINANZAS,INTRODUCCIÓN A LA ADMINISTRACIÓN,3,27,0.1111
2015,Noviembre,CARRERA DE CONTABILIDAD Y FINANZAS,METODOLOGÍA DE LA INVESTIGACIÓN ,5,41,0.122
2015,Noviembre,CARRERA DE CONTABILIDAD Y FINANZAS,MÉTODOS DE ESTUDIO,15,27,0.5556
2015,Noviembre,CARRERA DE CONTABILIDAD Y FINANZAS,TALLER DE EXPRESIÓN ORAL,1,20,0.05
2015,Noviembre,CARRERA DE CONTABILIDAD Y FINANZAS,TALLER DE INDUCCIÓN A LA PROFESIÓN,4,17,0.2353
2015,Noviembre,CARRERA DE ECONOMIA,ACTIVIDADES I,5,13,0.3846
2015,Noviembre,CARRERA DE ECONOMIA,CONTABILIDAD BÁSICA,1,5,0.2
2015,Noviembre,CARRERA DE ECONOMIA,CONTABILIDAD DE COSTOS,0,14,0.0
2015,Noviembre,CARRERA DE ECONOMIA,FILOSOFÍA Y ÉTICA (A DISTANCIA),0,1,0.0
2015,Noviembre,CARRERA DE ECONOMIA,INGLÉS I,5,7,0.7143
2015,Noviembre,CARRERA DE ECONOMIA,INGLÉS II,0,16,0.0
2015,Noviembre,CARRERA DE ECONOMIA,INGLÉS II (70/30),0,1,0.0
2015,Noviembre,CARRERA DE ECONOMIA,INTRODUCCIÓN A LA ADMINISTRACIÓN,0,11,0.0
2015,Noviembre,CARRERA DE ECONOMIA,METODOLOGÍA DE LA INVESTIGACIÓN ,1,22,0.0455
2015,Noviembre,CARRERA DE ECONOMIA,METODOLOGÍA DE LA INVESTIGACIÓN (70/30),0,1,0.0
2015,Noviembre,CARRERA DE ECONOMIA,MÉTODOS DE ESTUDIO,10,14,0.7143
2015,Noviembre,CARRERA DE ECONOMIA,TALLER DE EXPRESIÓN ORAL,0,11,0.0
2015,Noviembre,CARRERA DE ECONOMIA,TALLER DE INDUCCIÓN A LA PROFESIÓN,2,13,0.1538
2015,Noviembre,CARRERA DE EDUCACION,ELECTIVO I,0,3,0.0
2015,Noviembre,CARRERA DE EDUCACION,LENGUA I,0,5,0.0
2015,Noviembre,CARRERA DE EDUCACION,METODOLOGÍA DE LA INVESTIGACIÓN ,1,8,0.125
2015,Noviembre,CARRERA DE EDUCACION,METODOS DE ESTUDIO - HS,0,4,0.0
2015,Noviembre,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN CIENCIAS SOCIALES Y COMUNICACIÓN,INGLÉS I,0,1,0.0
2015,Noviembre,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN CIENCIAS SOCIALES Y COMUNICACIÓN,INGLÉS II,0,1,0.0
2015,Noviembre,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN CIENCIAS SOCIALES Y COMUNICACIÓN,METODOLOGÍA DE LA INVESTIGACIÓN ,0,1,0.0
2015,Noviembre,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN CIENCIAS SOCIALES Y COMUNICACIÓN,RECURSOS EDUCATIVOS DIGITALES DE ALTO IMPACTO,0,1,0.0
2015,Noviembre,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN INICIAL,INGLÉS I,0,2,0.0
2015,Noviembre,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN INICIAL,INGLÉS II,0,8,0.0
2015,Noviembre,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN INICIAL,RECURSOS EDUCATIVOS DIGITALES DE ALTO IMPACTO,1,13,0.0769
2015,Noviembre,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN INICIAL,TALLER DE EXPRESIÓN ORAL,0,1,0.0
2015,Noviembre,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN MATEMÁTICA E INFORMÁTICA,INGLÉS II,0,4,0.0
2015,Noviembre,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN MATEMÁTICA E INFORMÁTICA,RECURSOS EDUCATIVOS DIGITALES DE ALTO IMPACTO,0,6,0.0
2015,Octubre,CARRERA DE CONTABILIDAD Y FINANZAS,ACTIVIDADES I,12,35,0.3429
2015,Octubre,CARRERA DE CONTABILIDAD Y FINANZAS,INGLÉS I,2,20,0.1
2015,Octubre,CARRERA DE CONTABILIDAD Y FINANZAS,INGLÉS II,2,27,0.0741
2015,Octubre,CARRERA DE CONTABILIDAD Y FINANZAS,MATEMÁTICA I,3,17,0.1765
2015,Octubre,CARRERA DE CONTABILIDAD Y FINANZAS,MATEMÁTICA II,1,21,0.0476
2015,Octubre,CARRERA DE CONTABILIDAD Y FINANZAS,MÉTODOS DE ESTUDIO,18,36,0.5
2015,Octubre,CARRERA DE CONTABILIDAD Y FINANZAS,MÉTODOS ESTADÍSTICOS PARA LA TOMA DE DECISIONES,1,6,0.1667
2015,Octubre,CARRERA DE CONTABILIDAD Y FINANZAS,NORMALIZACIÓN CONTABLE I - NIIF I,5,28,0.1786
2015,Octubre,CARRERA DE CONTABILIDAD Y FINANZAS,TALLER DE EXPRESIÓN ORAL,2,22,0.0909
2015,Octubre,CARRERA DE CONTABILIDAD Y FINANZAS,TALLER DE INDUCCIÓN A LA PROFESIÓN,6,20,0.3
2015,Octubre,CARRERA DE ECONOMIA,ACTIVIDADES I,4,12,0.3333
2015,Octubre,CARRERA DE ECONOMIA,ACTIVIDADES I (70/30),0,1,0.0
2015,Octubre,CARRERA DE ECONOMIA,ESTADÍSTICA INFERENCIAL APLICADA,0,10,0.0
2015,Octubre,CARRERA DE ECONOMIA,INGLÉS I,1,7,0.1429
2015,Octubre,CARRERA DE ECONOMIA,INGLÉS I (70/30),0,1,0.0
2015,Octubre,CARRERA DE ECONOMIA,INGLÉS II,1,14,0.0714
2015,Octubre,CARRERA DE ECONOMIA,MATEMÁTICA I,0,17,0.0
2015,Octubre,CARRERA DE ECONOMIA,MATEMÁTICA I (70/30),0,1,0.0
2015,Octubre,CARRERA DE ECONOMIA,MATEMÁTICA II,2,14,0.1429
2015,Octubre,CARRERA DE ECONOMIA,MÉTODOS DE ESTUDIO,7,16,0.4375
2015,Octubre,CARRERA DE ECONOMIA,MÉTODOS DE ESTUDIO  (A DISTANCIA),0,1,0.0
2015,Octubre,CARRERA DE ECONOMIA,MÉTODOS DE ESTUDIO (70/30),0,1,0.0
2015,Octubre,CARRERA DE ECONOMIA,TALLER DE EXPRESIÓN ORAL,0,13,0.0
2015,Octubre,CARRERA DE ECONOMIA,TALLER DE INDUCCIÓN A LA PROFESIÓN,2,10,0.2
2015,Octubre,CARRERA DE ECONOMIA,USO DE PROBABILIDADES PARA EL ANÁLISIS Y LA GESTIÓN,1,4,0.25
2015,Octubre,CARRERA DE EDUCACION,ELECTIVO I,0,4,0.0
2015,Octubre,CARRERA DE EDUCACION,LENGUA I,1,4,0.25
2015,Octubre,CARRERA DE EDUCACION,METODOS DE ESTUDIO - HS,1,6,0.1667
2015,Octubre,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN CIENCIAS SOCIALES Y COMUNICACIÓN,IDIOMA EXTRANJERO I,0,1,0.0
2015,Octubre,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN CIENCIAS SOCIALES Y COMUNICACIÓN,INGLÉS I,0,1,0.0
2015,Octubre,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN CIENCIAS SOCIALES Y COMUNICACIÓN,INGLÉS II,0,1,0.0
2015,Octubre,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN CIENCIAS SOCIALES Y COMUNICACIÓN,MÉTODOS DE ESTUDIO,0,1,0.0
2015,Octubre,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN INICIAL,IDIOMA EXTRANJERO I,0,8,0.0
2015,Octubre,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN INICIAL,IDIOMA EXTRANJERO II,0,4,0.0
2015,Octubre,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN INICIAL,INGLÉS I,0,6,0.0
2015,Octubre,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN INICIAL,INGLÉS II,1,10,0.1
2015,Octubre,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN MATEMÁTICA E INFORMÁTICA,IDIOMA EXTRANJERO I,0,3,0.0
2015,Octubre,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN MATEMÁTICA E INFORMÁTICA,IDIOMA EXTRANJERO II,0,3,0.0
2015,Octubre,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN MATEMÁTICA E INFORMÁTICA,INGLÉS I,0,2,0.0
2015,Octubre,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN MATEMÁTICA E INFORMÁTICA,INGLÉS II,0,4,0.0
2015,Setiembre,CARRERA DE CONTABILIDAD Y FINANZAS,ACTIVIDADES I,21,47,0.4468
2015,Setiembre,CARRERA DE CONTABILIDAD Y FINANZAS,ECONOMÍA DE LA EMPRESA,1,6,0.1667
2015,Setiembre,CARRERA DE CONTABILIDAD Y FINANZAS,FILOSOFÍA Y ÉTICA,8,42,0.1905
2015,Setiembre,CARRERA DE CONTABILIDAD Y FINANZAS,INGLÉS I,15,38,0.3947
2015,Setiembre,CARRERA DE CONTABILIDAD Y FINANZAS,INGLÉS II,3,44,0.0682
2015,Setiembre,CARRERA DE CONTABILIDAD Y FINANZAS,INTRODUCCIÓN A LA ECONOMÍA,2,19,0.1053
2015,Setiembre,CARRERA DE CONTABILIDAD Y FINANZAS,MÉTODOS DE ESTUDIO,23,56,0.4107
2015,Setiembre,CARRERA DE CONTABILIDAD Y FINANZAS,TALLER DE EXPRESIÓN ORAL,8,29,0.2759
2015,Setiembre,CARRERA DE CONTABILIDAD Y FINANZAS,TALLER DE INDUCCIÓN A LA PROFESIÓN,3,30,0.1
2015,Setiembre,CARRERA DE ECONOMIA,ACTIVIDADES I,11,28,0.3929
2015,Setiembre,CARRERA DE ECONOMIA,ACTIVIDADES I (A DISTANCIA),0,1,0.0
2015,Setiembre,CARRERA DE ECONOMIA,FILOSOFÍA Y ÉTICA,1,21,0.0476
2015,Setiembre,CARRERA DE ECONOMIA,INGLÉS I,3,20,0.15
2015,Setiembre,CARRERA DE ECONOMIA,INGLÉS II,1,29,0.0345
2015,Setiembre,CARRERA DE ECONOMIA,INTRODUCCIÓN A LA ECONOMÍA,1,8,0.125
2015,Setiembre,CARRERA DE ECONOMIA,MÉTODOS DE ESTUDIO,15,32,0.4688
2015,Setiembre,CARRERA DE ECONOMIA,TALLER DE EXPRESIÓN ORAL,2,16,0.125
2015,Setiembre,CARRERA DE ECONOMIA,TALLER DE EXPRESIÓN ORAL (70/30),0,1,0.0
2015,Setiembre,CARRERA DE ECONOMIA,TALLER DE INDUCCIÓN A LA PROFESIÓN,3,13,0.2308
2015,Setiembre,CARRERA DE ECONOMIA,TALLER DE INDUCCIÓN A LA PROFESIÓN (70/30),0,1,0.0
2015,Setiembre,CARRERA DE ECONOMIA,TEORÍA DE LOS PRECIOS,1,8,0.125
2015,Setiembre,CARRERA DE EDUCACION,ELECTIVO I,0,9,0.0
